536 443 468 472 464
462 459 478 469 489
469 483 474 495 481
440 483 496 491 489
458 396 501 507 493
522 496 509 497 509
441 496 458 415 472
443 483 445 464 554
526 437 449 435 448
599 561 508 495 498
441 547 483 458 539
482 522 470 467 526
520 444 486 448 493
508 608 496 447 541
618 519 462 460 530
459 493 424 458 485
452 529 441 470 524
430 586 504 507 473
433 501 540 481 493
539 505 524 443 565
364 411 523 560 446
557 553 429 458 432
448 474 493 410 485
470 575 500 471 488
536 597 536 432 546
386 586 402 504 600
394 466 357 445 563
554 485 524 508 499
603 531 427 543 594
564 497 463 536 499
512 487 480 521 517
494 600 499 434 493
531 433 501 513 510
391 513 508 458 548
455 451 438 557 488
438 512 548 449 544
489 489 515 550 519
435 473 511 519 467
585 430 478 586 612
476 523 391 482 437
630 519 527 450 497
553 475 547 423 489
633 519 703 514 571
501 482 506 412 603
549 444 572 535 448
392 471 507 498 550
475 478 471 469 466
526 440 457 481 493
425 480 382 469 577
458 543 470 473 466
538 502 437 521 503
584 516 604 485 549
539 556 583 590 613
536 619 567 465 542
563 550 553 573 573
567 556 559 635 598
567 522 511 489 581
581 594 608 575 569
622 549 484 580 580
596 537 612 551 541
531 538 579 609 569
575 576 583 605 582
580 579 590 588 544
601 566 548 539 537
523 544 580 597 593
576 516 552 563 535
520 558 537 581 524
548 456 462 457 457
495 513 461 498 404
482 479 476 491 492
510 475 470 470 486
465 474 497 466 485
468 473 523 489 523
479 561 550 528 553
556 504 569 550 547
556 556 564 559 544
569 545 609 569 549
595 537 549 583 596
